Epoch,Loss,PhatBar_1,PhatBar_10,PhatBar_100,PhatBar_11,PhatBar_12,PhatBar_13,PhatBar_14,PhatBar_15,PhatBar_16,PhatBar_17,PhatBar_18,PhatBar_19,PhatBar_2,PhatBar_20,PhatBar_21,PhatBar_22,PhatBar_23,PhatBar_24,PhatBar_25,PhatBar_26,PhatBar_27,PhatBar_28,PhatBar_29,PhatBar_3,PhatBar_30,PhatBar_31,PhatBar_32,PhatBar_33,PhatBar_34,PhatBar_35,PhatBar_36,PhatBar_37,PhatBar_38,PhatBar_39,PhatBar_4,PhatBar_40,PhatBar_41,PhatBar_42,PhatBar_43,PhatBar_44,PhatBar_45,PhatBar_46,PhatBar_47,PhatBar_48,PhatBar_49,PhatBar_5,PhatBar_50,PhatBar_51,PhatBar_52,PhatBar_53,PhatBar_54,PhatBar_55,PhatBar_56,PhatBar_57,PhatBar_58,PhatBar_59,PhatBar_6,PhatBar_60,PhatBar_61,PhatBar_62,PhatBar_63,PhatBar_64,PhatBar_65,PhatBar_66,PhatBar_67,PhatBar_68,PhatBar_69,PhatBar_7,PhatBar_70,PhatBar_71,PhatBar_72,PhatBar_73,PhatBar_74,PhatBar_75,PhatBar_76,PhatBar_77,PhatBar_78,PhatBar_79,PhatBar_8,PhatBar_80,PhatBar_81,PhatBar_82,PhatBar_83,PhatBar_84,PhatBar_85,PhatBar_86,PhatBar_87,PhatBar_88,PhatBar_89,PhatBar_9,PhatBar_90,PhatBar_91,PhatBar_92,PhatBar_93,PhatBar_94,PhatBar_95,PhatBar_96,PhatBar_97,PhatBar_98,PhatBar_99,S,S_1,S_10,S_100,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_2,S_20,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_3,S_30,S_31,S_32,S_33,S_34,S_35,S_36,S_37,S_38,S_39,S_4,S_40,S_41,S_42,S_43,S_44,S_45,S_46,S_47,S_48,S_49,S_5,S_50,S_51,S_52,S_53,S_54,S_55,S_56,S_57,S_58,S_59,S_6,S_60,S_61,S_62,S_63,S_64,S_65,S_66,S_67,S_68,S_69,S_7,S_70,S_71,S_72,S_73,S_74,S_75,S_76,S_77,S_78,S_79,S_8,S_80,S_81,S_82,S_83,S_84,S_85,S_86,S_87,S_88,S_89,S_9,S_90,S_91,S_92,S_93,S_94,S_95,S_96,S_97,S_98,S_99,TestingError,TrainingError
0,0.005911588668823242,0.48528656363487244,0.5566775798797607,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.5339249968528748,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.46230360865592957,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323684573173523,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.0
1,0.9245790243148804,0.48528656363487244,0.5566775798797607,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.13189810514450073,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.9090002179145813,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323684573173523,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.0
2,0.3192685842514038,0.48528656363487244,0.5566775798797607,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.26022493839263916,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.7664148211479187,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323684573173523,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.0
3,0.9809065461158752,0.48528656363487244,0.5566775798797607,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8736432194709778,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08483889698982239,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323684573173523,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.0012500286102294922
4,0.6836744546890259,0.48528656363487244,0.5566775798797607,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.16791726648807526,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.8689789175987244,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323684573173523,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.0012500286102294922
5,1.0,0.48528656363487244,0.556674063205719,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08333094418048859,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323726296424866,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
6,1.0,0.48528656363487244,0.556674063205719,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08333094418048859,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323726296424866,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
7,1.0,0.48528656363487244,0.556674063205719,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08333094418048859,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323726296424866,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
8,1.0,0.48528656363487244,0.556674063205719,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08333094418048859,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323726296424866,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
9,1.0,0.48528656363487244,0.556674063205719,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.500006377696991,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348779022693634,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.08333094418048859,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.4323726296424866,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49999046325683594,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,279,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,6,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
10,1.0,0.48528656363487244,0.5566717982292175,,,0.4999980926513672,0.5,0.49999964237213135,0.5000201463699341,0.5,0.5000050663948059,0.49999135732650757,0.8750004172325134,0.508354663848877,,0.4099392294883728,0.5,0.5220701694488525,0.5000022649765015,0.4999999403953552,,0.5,0.5000000596046448,0.5,,0.4999978542327881,0.5,0.49701249599456787,0.5000066757202148,,0.499994695186615,0.5000048875808716,0.5,0.9999702572822571,0.49999508261680603,0.49998804926872253,0.5000048875808716,0.5,,0.500012218952179,,,0.4348781108856201,0.5000094175338745,0.4988182485103607,0.5,0.5,0.5,,8.370161958737299e-05,0.5000030398368835,0.5000009536743164,,0.5,0.5,0.5,0.09999708831310272,,0.4999983608722687,0.5,,,0.5,,,0.4940323829650879,0.5,0.8662130832672119,2.9758293749182485e-05,0.5,0.9999163150787354,0.5,0.5,,0.4999496638774872,0.5,,0.5,0.5,0.43237540125846863,0.5000099539756775,,0.5,0.4999998211860657,0.4999900460243225,0.5,,0.5,0.5,0.5,0.49998995661735535,,0.7279702425003052,,,0.5011817812919617,0.5,,0.5,,,278,3,6,0,0,1,5,1,5,2,2,2,4,5,0,4,8,2,1,1,0,7,2,1,0,4,3,1,3,0,4,2,8,1,6,2,3,5,0,3,0,0,7,4,1,1,7,6,0,1,7,4,0,7,4,4,5,0,3,2,0,0,3,0,0,7,3,1,1,3,2,5,3,0,1,3,0,4,2,7,8,0,4,5,8,4,0,2,7,7,4,0,2,0,0,2,3,0,7,0,0,0.2149999737739563,0.002499997615814209
